train,val,test
26950_bag,14542_bag,10143_bag
57162_bag,16064_bag,1020_bag
39425_bag,17854_bag,10246_bag
11263_bag,21445_bag,10800_bag
27245_bag,22425_bag,18568_bag
48502_bag,22740_bag,24759_bag
65022_bag,24617_bag,31033_bag
36063_bag,27315_bag,36678_bag
2666_bag,33708_bag,42549_bag
29200_bag,34247_bag,45185_bag
14401_bag,35239_bag,46815_bag
26533_bag,38849_bag,47960_bag
28562_bag,39728_bag,49281_bag
2227_bag,6898_bag,50304_bag
11431_bag,,5852_bag
34277_bag,,61823_bag
33976_bag,,
59760_bag,,
37190_bag,,
5992_bag,,
